LocusTag	GeneID	Symbol	Description
YPL282C	855847	PAU22	Pau22p
YPL281C	855848	ERR2	Err2p
YPL280W	855849	HSP32	Hsp32p
YPL279C	855850	YPL279C	Putative protein of unknown function
YPL278C	855851	YPL278C	Putative protein of unknown function; gene expression regulated by copper levels
YPL277C	855852	YPL277C	Putative protein of unknown function; localized to the membranes; gene expression regulated by copper levels
YPL275W	855853	FDH2	pseudo
YPL274W	855854	SAM3	High-affinity S-adenosylmethionine permease, required for utilization of S-adenosylmethionine as a sulfur source; has similarity to S-methylmethionine permease Mmp1p
YPL273W	855855	SAM4	S-adenosylmethionine-homocysteine methyltransferase, functions along with Mht1p in the conversion of S-adenosylmethionine (AdoMet) to methionine to control the methionine/AdoMet ratio
YPL272C	855856	YPL272C	Putative protein of unknown function; gene expression induced in response to ketoconazole; YPL272C is not an essential gene
YPL271W	855857	ATP15	Atp15p
YPL270W	855858	MDL2	Mdl2p
YPL269W	855859	KAR9	Kar9p
YPL268W	855860	PLC1	Phosphoinositide-specific phospholipase C, hydrolyzes phosphatidylinositol 4,5-biphosphate (PIP2) to generate inositol 1,4,5-triphosphate (IP3) and 1,2-diacylglycerol (DAG); involved in kinetochore function and pseudohyphal differentiation
YPL267W	855861	ACM1	Acm1p
YPL266W	855862	DIM1	Dim1p
YPL265W	855863	DIP5	Dicarboxylic amino acid permease, mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly
YPL264C	855864	YPL264C	Putative membrane protein of unknown function; physically interacts with Hsp82p; YPL264C is not an essential gene
YPL263C	855865	KEL3	Cytoplasmic protein of unknown function
YPL262W	855866	FUM1	Fum1p
YPL260W	855867	YPL260W	Putative substrate of cAMP-dependent protein kinase (PKA); green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YPL260W is not an essential gene
YPL259C	855869	APM1	Apm1p
YPL258C	855870	THI21	Hydroxymethylpyrimidine phosphate kinase, involved in the last steps in thiamine biosynthesis; member of a gene family with THI20 and THI22; functionally redundant with Thi20p
YPL230W	855871	USV1	Putative transcription factor containing a C2H2 zinc finger; mutation affects transcriptional regulation of genes involved in protein folding, ATP binding, and cell wall biosynthesis
YPL229W	855872	YPL229W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YPL229W is not an essential gene
YPL228W	855873	CET1	Beta (RNA 5'-triphosphatase) subunit of the mRNA capping enzyme, a heterodimer (the other subunit is CEG1, a guanylyltransferase) involved in adding the 5' cap to mRNA; the mammalian enzyme is a single bifunctional polypeptide
YPL227C	855874	ALG5	Alg5p
YPL226W	855875	NEW1	ATP binding cassette family member; Asn/Gln-rich rich region supports [NU+] prion formation, susceptibility to [PSI+] prion induction and aggregation of a fragment of the human Machado-Joseph Disease protein
YPL225W	855876	YPL225W	Protein of unknown function that may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
YPL224C	855877	MMT2	Mmt2p
YPL223C	855878	GRE1	Gre1p
YPL222W	855879	FMP40	Fmp40p
YPL221W	855880	FLC1	Flc1p
YPL220W	855881	RPL1A	N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl1Bp and has similarity to E. coli L1 and rat L10a ribosomal proteins; rpl1a rpl1b double null mutation is lethal
YPL219W	855882	PCL8	Cyclin, interacts with Pho85p cyclin-dependent kinase (Cdk) to phosphorylate and regulate glycogen synthase, also activates Pho85p for Glc8p phosphorylation
YPL218W	855883	SAR1	GTPase, GTP-binding protein of the ARF family, component of COPII coat of vesicles; required for transport vesicle formation during ER to Golgi protein transport
YPL217C	855884	BMS1	Bms1p
YPL216W	855885	YPL216W	Putative protein of unknown function; YPL216W is not an essential gene
YPL215W	855886	CBP3	Cbp3p
YPL214C	855887	THI6	Bifunctional enzyme with thiamine-phosphate pyrophosphorylase and 4-methyl-5-beta-hydroxyethylthiazole kinase activities, required for thiamine biosynthesis; GFP-fusion protein localizes to the cytoplasm in a punctate pattern
YPL213W	855888	LEA1	Component of U2 snRNP; disruption causes reduced U2 snRNP levels; physically interacts with Msl1p; invovled in telomere maintenance; putative homolog of human U2A' snRNP protein
YPL212C	855889	PUS1	Pus1p
YPL211W	855890	NIP7	Nip7p
YPL210C	855891	SRP72	Core component of the signal recognition particle (SRP) ribonucleoprotein (RNP) complex that functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane
YPL209C	855892	IPL1	Aurora kinase involved in regulating kinetochore-microtubule attachments; helps maintain condensed chromosomes during anaphase and early telophase; associates with Sli15p, which promotes Ipl1p association with mitotic spindle
YPL208W	855893	RKM1	Rkm1p
YPL207W	855894	TYW1	Protein required for the synthesis of wybutosine, a modified guanosine found at the 3'-position adjacent to the anticodon of phenylalanine tRNA which supports reading frame maintenance by stabilizing codon-anticodon interactions
YPL206C	855895	YPL206C	Protein that plays a role in metabolism of glycerophosphocholine to phosphatidylcholine; contains glycerophosphodiester phosphodiesterase motifs
YPL204W	855897	HRR25	Hrr25p
YPL203W	855898	TPK2	Tpk2p
YPL202C	855899	AFT2	Aft2p
YPL201C	855900	YIG1	Protein that interacts with glycerol 3-phosphatase and plays a role in anaerobic glycerol production; localizes to the nucleus and cytosol
YPL200W	855901	CSM4	Csm4p
YPL199C	855902	YPL199C	Ypl199cp
YPL198W	855903	RPL7B	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl7Ap and has similarity to E. coli L30 and rat L7 ribosomal proteins; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2)
YPL196W	855905	OXR1	Oxr1p
YPL195W	855906	APL5	Apl5p
YPL194W	855907	DDC1	DNA damage checkpoint protein, part of a PCNA-like complex required for DNA damage response, required for pachytene checkpoint to inhibit cell cycle in response to unrepaired recombination intermediates; potential Cdc28p substrate
YPL193W	855908	RSA1	Protein involved in the assembly of 60S ribosomal subunits; functionally interacts with Dbp6p; functions in a late nucleoplasmic step of the assembly
YPL192C	855909	PRM3	Pheromone-regulated protein required for karyogamy; localizes to the inner membrane of the nuclear envelope
YPL191C	855910	YPL191C	Putative protein of unknown function; diploid deletion strain exhibits high budding index; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
YPL190C	855911	NAB3	Nab3p
YPL189W	855912	GUP2	Gup2p
YPL188W	855913	POS5	Mitochondrial NADH kinase, phosphorylates NADH; also phosphorylates NAD(+) with lower specificity; required for the response to oxidative stress
YPL187W	855914	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor
YPL186C	855916	UIP4	Protein that interacts with Ulp1p, a Ubl (ubiquitin-like protein)-specific protease for Smt3p protein conjugates; detected in a phosphorylated state in the mitochondrial outer membrane; also detected in ER and nuclear envelope
YPL184C	855917	MRN1	Mrn1p
YPL183W-A	855918	YPL183W-A	Homolog of the prokaryotic ribosomal protein L36, likely to be a mitochondrial ribosomal protein coded in the nuclear genome
YPL183C	855919	RTT10	Cytoplasmic protein of unknown function, plays a role in restricting Ty1 transposition
YPL181W	855920	CTI6	Cti6p
YPL180W	855922	TCO89	Subunit of TORC1 (Tor1p or Tor2p-Kog1p-Lst8p-Tco89p), a complex that regulates growth in response to nutrient availability; cooperates with Ssd1p in the maintenance of cellular integrity; deletion strains are hypersensitive to rapamycin
YPL179W	855923	PPQ1	Ppq1p
TE(UUC)P	855924	TE(UUC)P	tRNA
YPL178W	855925	CBC2	Cbc2p
YPL177C	855926	CUP9	Cup9p
YPL176C	855927	TRE1	Plasma membrane protein that binds to Bsd2p and regulates ubiquitylation and vacuolar degradation of the metal transporter Smf1p; function is redundant with that of Tre2p; has similarity to transferrin receptors
YPL175W	855928	SPT14	Spt14p
YPL174C	855929	NIP100	Large subunit of the dynactin complex, which is involved in partitioning the mitotic spindle between mother and daughter cells; putative ortholog of mammalian p150(glued)
YPL173W	855930	MRPL40	Mitochondrial ribosomal protein of the large subunit
YPL172C	855931	COX10	Cox10p
YPL171C	855932	OYE3	Oye3p
YPL170W	855933	DAP1	Dap1p
YPL169C	855934	MEX67	Mex67p
YPL168W	855935	YPL168W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; expression may be cell cycle-regulated
YPL167C	855936	REV3	Catalytic subunit of DNA polymerase zeta, which is involved in DNA repair and translesion synthesis; required for mutagenesis induced by DNA damage
YPL166W	855937	ATG29	Atg29p
YPL165C	855938	SET6	Protein of unknown function; deletion heterozygote is sensitive to compounds that target ergosterol biosynthesis, may be involved in compound availability
YPL164C	855939	MLH3	Mlh3p
YPL163C	855940	SVS1	Cell wall and vacuolar protein, required for wild-type resistance to vanadate
YPL162C	855941	YPL162C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the membrane of vacuole with cell cycle-correlated morphology
YPL161C	855942	BEM4	Bem4p
YPL160W	855943	CDC60	Cdc60p
YPL159C	855944	PET20	Mitochondrial protein, required for respiratory growth under some conditions and for stability of the mitochondrial genome
YPL158C	855945	AIM44	Aim44p
YPL157W	855946	TGS1	Tgs1p
YPL156C	855947	PRM4	Pheromone-regulated protein, predicted to have 1 transmembrane segment; transcriptionally regulated by Ste12p during mating and by Cat8p during the diauxic shift
YPL155C	855948	KIP2	Kinesin-related motor protein involved in mitotic spindle positioning, stabilizes microtubules by targeting Bik1p to the plus end; Kip2p levels are controlled during the cell cycle
YPL154C	855949	PEP4	Pep4p
YPL153C	855950	RAD53	Protein kinase, required for cell-cycle arrest in response to DNA damage; activated by trans autophosphorylation when interacting with hyperphosphorylated Rad9p; also interacts with ARS1 and plays a role in initiation of DNA replication
YPL152W	855951	RRD2	Activator of the phosphotyrosyl phosphatase activity of PP2A,peptidyl-prolyl cis/trans-isomerase; regulates G1 phase progression, the osmoresponse, microtubule dynamics; subunit of the Tap42p-Pph21p-Rrd2p complex
YPL151C	855952	PRP46	Prp46p
YPL150W	855953	YPL150W	Putative protein kinase of unknown cellular role
YPL149W	855954	ATG5	Atg5p
YPL148C	855955	PPT2	Phosphopantetheine:protein transferase (PPTase), activates mitochondrial acyl carrier protein (Acp1p) by phosphopantetheinylation
YPL147W	855956	PXA1	Pxa1p
YPL146C	855957	NOP53	Nop53p
YPL145C	855958	KES1	Kes1p
YPL144W	855959	POC4	Chaperone component involved in 20S proteasome assembly; forms a heterodimer with Irc25p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; null mutant is viable, exhibits shortened telomeres
YPL143W	855960	RPL33A	N-terminally acetylated ribosomal protein L37 of the large (60S) ribosomal subunit, nearly identical to Rpl33Bp and has similarity to rat L35a; rpl33a null mutant exhibits slow growth while rpl33a rpl33b double null mutant is inviable
YPL141C	855962	YPL141C	Putative protein kinase; similar to Kin4p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YPL141C is not an essential gene
YPL140C	855963	MKK2	Mitogen-activated kinase kinase involved in protein kinase C signaling pathway that controls cell integrity; upon activation by Bck1p phosphorylates downstream target, Slt2p; functionally redundant with Mkk1p
YPL139C	855964	UME1	Negative regulator of meiosis, required for repression of a subset of meiotic genes during vegetative growth, binding of histone deacetylase Rpd3p required for activity, contains a NEE box and a WD repeat motif; homologous with Wtm1p, Wtm2p
YPL138C	855965	SPP1	Spp1p
YPL137C	855967	GIP3	Gip3p
YPL135W	855968	ISU1	Conserved protein of the mitochondrial matrix, performs a scaffolding function during assembly of iron-sulfur clusters, interacts physically and functionally with yeast frataxin (Yfh1p); isu1 isu2 double mutant is inviable
YPL134C	855969	ODC1	Mitochondrial inner membrane transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation
YPL133C	855970	RDS2	Rds2p
YPL132W	855971	COX11	Cox11p
YPL131W	855972	RPL5	Protein component of the large (60S) ribosomal subunit with similarity to E. coli L18 and rat L5 ribosomal proteins; binds 5S rRNA and is required for 60S subunit assembly
YPL130W	855973	SPO19	Meiosis-specific protein of unknown function, involved in completion of nuclear divisions; identified as a weak high-copy suppressor of the spo1-1 ts mutation; putative GPI-dependent cell-wall protein
YPL129W	855974	TAF14	Subunit of TFIID, TFIIF, INO80, SWI/SNF, and NuA3 complexes, involved in RNA polymerase II transcription initiation and in chromatin modification; contains a YEATS domain
YPL128C	855975	TBF1	Tbf1p
YPL127C	855976	HHO1	Hho1p
YPL126W	855977	NAN1	Nan1p
YPL125W	855978	KAP120	Kap120p
YPL124W	855979	SPC29	Inner plaque spindle pole body (SPB) component, links the central plaque component Spc42p to the inner plaque component Spc110p; required for SPB duplication
YPL123C	855980	RNY1	RNAse; member of the T(2) family of endoribonucleases
YPL122C	855981	TFB2	Subunit of TFIIH and nucleotide excision repair factor 3 complexes, involved in transcription initiation, required for nucleotide excision repair, similar to 52 kDa subunit of human TFIIH
YPL121C	855982	MEI5	Mei5p
YPL120W	855983	VPS30	Subunit of phosphatidylinositol (PtdIns) 3-kinase complexes I and II; Complex I is essential in autophagy and Complex II is required for vacuolar protein sorting; ortholog of the higher eukaryotic gene Beclin 1
YPL119C	855984	DBP1	Dbp1p
YPL118W	855985	MRP51	Mitochondrial ribosomal protein of the small subunit; MRP51 exhibits genetic interactions with mutations in the COX2 and COX3 mRNA 5'-untranslated leader sequences
YPL117C	855986	IDI1	Idi1p
YPL116W	855987	HOS3	Hos3p
YPL115C	855988	BEM3	Bem3p
YPL113C	855990	YPL113C	Glyoxylate reductase; acts on glyoxylate and hydroxypyruvate substrates; YPL113C is not an essential gene
YPL112C	855991	PEX25	Peripheral peroxisomal membrane peroxin required for the regulation of peroxisome size and maintenance, recruits GTPase Rho1p to peroxisomes, induced by oleate, interacts with homologous protein Pex27p
TM(CAU)P	855992	IMT2	tRNA
YPL111W	855993	CAR1	Arginase, responsible for arginine degradation, expression responds to both induction by arginine and nitrogen catabolite repression; disruption enhances freeze tolerance
YPL110C	855994	GDE1	Gde1p
YPL109C	855995	YPL109C	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YPL108W	855996	YPL108W	Cytoplasmic protein of unknown function; non-essential gene that is induced in a GDH1 deleted strain with altered redox metabolism; GFP-fusion protein is induced in response to the DNA-damaging agent MMS
YPL107W	855997	YPL107W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YPL107W is not an essential gene
YPL106C	855998	SSE1	ATPase that is a component of the heat shock protein Hsp90 chaperone complex; binds unfolded proteins; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm
YPL105C	855999	YPL105C	Protein of unknown function that may interact with ribosomes, based on co-purification experiments; authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YPL104W	856000	MSD1	Mitochondrial aspartyl-tRNA synthetase, required for acylation of aspartyl-tRNA; yeast and bacterial aspartyl-, asparaginyl-, and lysyl-tRNA synthetases contain regions with high sequence similarity, suggesting a common ancestral gene
YPL103C	856001	FMP30	Fmp30p
YPL101W	856002	ELP4	Elp4p
YPL100W	856004	ATG21	Atg21p
YPL099C	856005	AIM43	Aim43p
YPL098C	856006	MGR2	Mgr2p
YPL097W	856007	MSY1	Mitochondrial tyrosyl-tRNA synthetase
YPL096C-A	856008	ERI1	Endoplasmic reticulum membrane protein that binds to and inhibits GTP-bound Ras2p at the ER; component of the GPI-GnT complex which catalyzes the first step in GPI-anchor biosynthesis; probable homolog of mammalian PIG-Y protein
YPL096W	856009	PNG1	Conserved peptide N-glycanase required for deglycosylation of misfolded glycoproteins during proteasome-dependent degradation, localizes to the cytoplasm and nucleus, interacts with the DNA repair protein Rad23p
YPL095C	856010	EEB1	Acyl-coenzymeA:ethanol O-acyltransferase responsible for the major part of medium-chain fatty acid ethyl ester biosynthesis during fermentation; possesses short chain esterase activity; may be involved in lipid metabolism and detoxification
YPL094C	856011	SEC62	Essential subunit of Sec63 complex (Sec63p, Sec62p, Sec66p and Sec72p); with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER
YPL093W	856012	NOG1	Nog1p
YPL092W	856013	SSU1	Plasma membrane sulfite pump involved in sulfite metabolism and required for efficient sulfite efflux; major facilitator superfamily protein
YPL091W	856014	GLR1	Cytosolic and mitochondrial glutathione oxidoreductase, converts oxidized glutathione to reduced glutathione
YPL090C	856015	RPS6A	Protein component of the small (40S) ribosomal subunit; identical to Rps6Bp and has similarity to rat S6 ribosomal protein
YPL089C	856016	RLM1	MADS-box transcription factor, component of the protein kinase C-mediated MAP kinase pathway involved in the maintenance of cell integrity; phosphorylated and activated by the MAP-kinase Slt2p
YPL088W	856017	YPL088W	Putative aryl alcohol dehydrogenase; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance
YPL087W	856018	YDC1	Alkaline dihydroceramidase, involved in sphingolipid metabolism; preferentially hydrolyzes dihydroceramide to a free fatty acid and dihydrosphingosine; has a minor reverse activity
YPL086C	856019	ELP3	Elp3p
YPL085W	856020	SEC16	COPII vesicle coat protein required for ER transport vesicle budding and autophagosome formation; Sec16p is bound to the periphery of ER membranes and may act to stabilize initial COPII complexes; interacts with Sec23p, Sec24p and Sec31p
YPL084W	856021	BRO1	Bro1p
YPL083C	856022	SEN54	Sen54p
YPL082C	856023	MOT1	Essential abundant protein involved in regulation of transcription, removes Spt15p (TBP) from DNA via its C-terminal ATPase activity, forms a complex with TBP that binds TATA DNA with high affinity but with altered specificity
YPL081W	856024	RPS9A	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps9Bp and has similarity to E. coli S4 and rat S9 ribosomal proteins
YPL079W	856026	RPL21B	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl21Ap and has similarity to rat L21 ribosomal protein
YPL078C	856027	ATP4	Atp4p
YPL077C	856028	YPL077C	Putative protein of unknown function; regulates PIS1 expression; mutant displays spore wall assembly defect in ether sensitivity screen; YPL077C is not an essential gene
YPL076W	856029	GPI2	Gpi2p
YPL075W	856030	GCR1	Gcr1p
YPL074W	856031	YTA6	Putative ATPase of the CDC48/PAS1/SEC18 (AAA) family, localized to the cortex of mother cells but not to daughter cells
YPL072W	856032	UBP16	Deubiquitinating enzyme anchored to the outer mitochondrial membrane, probably not important for general mitochondrial functioning, but may perform a more specialized function at mitochondria
YPL071C	856034	YPL071C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus
YPL070W	856035	MUK1	Cytoplasmic protein of unknown function; computational analysis of large-scale protein-protein interaction data suggests a possible role in transcriptional regulation
YPL069C	856036	BTS1	Bts1p
YPL068C	856037	YPL068C	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and is induced in response to the DNA-damaging agent MMS
YPL067C	856038	YPL067C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YPL067C is not an essential gene
YPL066W	856039	YPL066W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the bud neck and cytoplasm; null mutant is viable and exhibits growth defect on a non-fermentable (respiratory) carbon source
YPL065W	856040	VPS28	Component of the ESCRT-I complex, which is involved in ubiquitin-dependent sorting of proteins into the endosome; involved in transport of precursors for soluble vacuolar hydrolases from the late endosome to the vacuole
YPL064C	856041	CWC27	Component of a complex containing Cef1p, putatively involved in pre-mRNA splicing; has similarity to S. pombe Cwf27p
YPL063W	856042	TIM50	Constituent of the mitochondrial inner membrane presequence translocase (TIM23 complex); may promote binding of incoming precursor proteins to the intermembrane space domain of Tom22p during translocation
YPL061W	856044	ALD6	Ald6p
YPL060W	856045	LPE10	Lpe10p
TC(GCA)P1	856046	TC(GCA)P1	tRNA
YPL060C-A	856047	YPL060C-A	pseudo
YPL059W	856048	GRX5	Grx5p
YPL058C	856049	PDR12	Pdr12p
YPL057C	856050	SUR1	Probable catalytic subunit of a mannosylinositol phosphorylceramide (MIPC) synthase, forms a complex with probable regulatory subunit Csg2p; function in sphingolipid biosynthesis is overlapping with that of Csh1p
YPL056C	856051	YPL056C	Putative protein of unknown function; deletion mutant is fluconazole resistant
YPL055C	856052	LGE1	Lge1p
YPL054W	856053	LEE1	Lee1p
YPL053C	856054	KTR6	Ktr6p
YPL052W	856055	OAZ1	Oaz1p
YPL051W	856056	ARL3	Arl3p
YPL050C	856057	MNN9	Mnn9p
YPL049C	856058	DIG1	Dig1p
YPL048W	856059	CAM1	Cam1p
YPL047W	856060	SGF11	Integral subunit of SAGA histone acetyltransferase complex, regulates transcription of a subset of SAGA-regulated genes, required for the Ubp8p association with SAGA and for H2B deubiquitylation
YPL046C	856061	ELC1	Elc1p
YPL045W	856062	VPS16	Subunit of the vacuole fusion and protein sorting HOPS complex and the CORVET tethering complex; part of the Class C Vps complex essential for membrane docking and fusion at Golgi-to-endosome and endosome-to-vacuole protein transport stages
YPL043W	856063	NOP4	Nop4p
YPL042C	856065	SSN3	Cyclin-dependent protein kinase, component of RNA polymerase II holoenzyme; involved in phosphorylation of the RNA polymerase II C-terminal domain; involved in glucose repression
YPL041C	856066	YPL041C	Protein of unknown function involved in maintenance of proper telomere length
YPL040C	856067	ISM1	Ism1p
YPL039W	856068	YPL039W	Putative protein of unknown function; YPL039W is not an essential gene
YPL038W	856069	MET31	Met31p
YPL037C	856070	EGD1	Egd1p
YPL036W	856071	PMA2	Plasma membrane H+-ATPase, isoform of Pma1p, involved in pumping protons out of the cell; regulator of cytoplasmic pH and plasma membrane potential
YPL034W	856072	YPL034W	Putative protein of unknown function; YPL034W is not essential gene
YPL033C	856074	YPL033C	Putative protein of unknown function; may be involved in DNA metabolism; expression is induced by Kar4p
YPL032C	856075	SVL3	Protein of unknown function, mutant phenotype suggests a potential role in vacuolar function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery, cytoplasm, bud, and bud neck
YPL031C	856076	PHO85	Cyclin-dependent kinase, with ten cyclin partners; involved in environmental stress response; in phosphate-rich conditions, Pho85p-Pho80p complex phosphorylates Pho4p which in turn represses PHO5
YPL030W	856077	TRM44	Putative tRNA U44 2'-O-methyltransferase; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; non-essential gene
YPL029W	856078	SUV3	ATP-dependent RNA helicase, component of the mitochondrial degradosome along with the RNase Dss1p; the degradosome associates with the ribosome and mediates turnover of aberrant or unprocessed RNAs
YPL028W	856079	ERG10	Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase), cytosolic enzyme that transfers an acetyl group from one acetyl-CoA molecule to another, forming acetoacetyl-CoA; involved in the first step in mevalonate biosynthesis
YPL027W	856080	SMA1	Protein of unknown function involved in the assembly of the prospore membrane during sporulation
YPL026C	856081	SKS1	Putative serine/threonine protein kinase; involved in the adaptation to low concentrations of glucose independent of the SNF3 regulated pathway
YPL024W	856083	RMI1	Involved in response to DNA damage; null mutants have increased rates of recombination and delayed S phase; interacts physically and genetically with Sgs1p (RecQ family member) and Top3p (topoisomerase III)
YPL023C	856084	MET12	Isozyme of methylenetetrahydrofolate reductase, catalyzes the reduction of 5,10-methylenetetrahydrofolate to 5-methyltetrahydrofolate in the methionine biosynthesis pathway
YPL022W	856085	RAD1	Rad1p
YPL021W	856086	ECM23	Ecm23p
YPL020C	856087	ULP1	Ubl (ubiquitin-like protein)-specific protease that cleaves Smt3p protein conjugates; specifically required for cell cycle progression; associates with nucleoporins and may interact with septin rings during telophase
YPL019C	856088	VTC3	Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in non-autophagic vacuolar fusion
YPL018W	856089	CTF19	Ctf19p
YPL017C	856090	IRC15	Irc15p
YPL016W	856091	SWI1	Subunit of the SWI/SNF chromatin remodeling complex, which regulates transcription by remodeling chromosomes; required for transcription of many genes, including ADH1, ADH2, GAL1, HO, INO1 and SUC2
YPL015C	856092	HST2	Cytoplasmic member of the silencing information regulator 2 (Sir2) family of NAD(+)-dependent protein deacetylases; modulates nucleolar (rDNA) and telomeric silencing; possesses NAD(+)-dependent histone deacetylase activity in vitro
YPL014W	856093	YPL014W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus
YPL013C	856094	MRPS16	Mitochondrial ribosomal protein of the small subunit
YPL012W	856095	RRP12	Protein required for export of the ribosomal subunits; associates with the RNA components of the pre-ribosomes; contains HEAT-repeats
YPL011C	856096	TAF3	TFIID subunit (47 kDa), involved in promoter binding and RNA polymerase II transcription initiation
YPL010W	856097	RET3	Ret3p
YPL009C	856098	YPL009C	Protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YPL009C is not an essential gene
YPL008W	856099	CHL1	Chl1p
YPL007C	856100	TFC8	One of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); part of TFIIIC TauB domain that binds BoxB promoter sites of tRNA and other genes; linker between TauB and TauA domains; human homolog is TFIIIC-90
YPL006W	856101	NCR1	Ncr1p
YPL005W	856102	AEP3	Aep3p
YPL004C	856103	LSP1	Lsp1p
YPL003W	856104	ULA1	Protein that acts together with Uba3p to activate Rub1p before its conjugation to proteins (neddylation), which may play a role in protein degradation
YPL002C	856105	SNF8	Component of the ESCRT-II complex, which is involved in ubiquitin-dependent sorting of proteins into the endosome; appears to be functionally related to SNF7; involved in glucose derepression
YPL001W	856106	HAT1	Catalytic subunit of the Hat1p-Hat2p histone acetyltransferase complex that uses the cofactor acetyl coenzyme A, to acetylate free nuclear and cytoplasmic histone H4; involved in telomeric silencing and DNA double-strand break repair
YPR001W	856107	CIT3	Cit3p
YPR002W	856108	PDH1	Mitochondrial protein that participates in respiration, induced by diauxic shift; homologous to E. coli PrpD, may take part in the conversion of 2-methylcitrate to 2-methylisocitrate
TF(GAA)P1	856109	TF(GAA)P1	tRNA
YPR003C	856111	YPR003C	Putative sulfate permease; physically interacts with Hsp82p; green fluorescent protein (GFP)-fusion protein localizes to the ER; YPR003C is not an essential gene
YPR004C	856112	AIM45	Aim45p
YPR005C	856113	HAL1	Cytoplasmic protein involved in halotolerance; decreases intracellular Na+ (via Ena1p) and increases intracellular K+ by decreasing efflux; expression repressed by Ssn6p-Tup1p and Sko1p and induced by NaCl, KCl, and sorbitol through Gcn4p
YPR006C	856114	ICL2	2-methylisocitrate lyase of the mitochondrial matrix, functions in the methylcitrate cycle to catalyze the conversion of 2-methylisocitrate to succinate and pyruvate; ICL2 transcription is repressed by glucose and induced by ethanol
YPR007C	856115	REC8	Meiosis-specific component of sister chromatid cohesion complex; maintains cohesion between sister chromatids during meiosis I; maintains cohesion between centromeres of sister chromatids until meiosis II; homolog of S. pombe Rec8p
TG(GCC)P1	856116	TG(GCC)P1	tRNA
YPR008W	856117	HAA1	Haa1p
YPR009W	856118	SUT2	Putative transcription factor; multicopy suppressor of mutations that cause low activity of the cAMP/protein kinase A pathway; highly similar to Sut1p
YPR010C	856119	RPA135	RNA polymerase I subunit A135
TK(CUU)P	856120	TK(CUU)P	tRNA
YPR011C	856121	YPR011C	Putative transporter, member of the mitochondrial carrier family; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YPR013C	856123	YPR013C	Putative zinc finger protein; YPR013C is not an essential gene
YPR015C	856125	YPR015C	Putative protein of unknown function
YPR016C	856126	TIF6	Constituent of 66S pre-ribosomal particles, has similarity to human translation initiation factor 6 (eIF6); may be involved in the biogenesis and or stability of 60S ribosomal subunits
YPR017C	856128	DSS4	Dss4p
